;Mrf#;Product Link;Unit Price(USD);Quantity;Ext.Price(USD);Description;;;;;;;;;;;;
35;RT0402BRD0724K9L;https://www.lcsc.com/product-detail/C852664.html;0.0274;2;0.55;24.9kΩ 63mW 50V Thin Film Resistor ±25ppm/℃ ±0.1% 0402 Chip Resistor - Surface Mount RoHS;;;;;;;;;;;;
36;ERJPA2J330X;https://www.lcsc.com/product-detail/C427200.html;0.0257;1;0.51;33Ω ±5% 250mW 0402 Thick Film Resistor AEC-Q200;;;;;;;;;;;;
37;FRC0402F1053TS;https://www.lcsc.com/product-detail/C2933067.html;0.0015;1;0.15;105kΩ ±1% 62.5mW 0402 Thick Film Resistor;;;;;;;;;;;;
38;RK73H1ET3652F-CN;https://www.lcsc.com/product-detail/C42396638.html;0.0014;1;0.14;62.5mW 36.5kΩ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS;;;;;;;;;;;;
39;ERA2AEB1242X;https://www.lcsc.com/product-detail/C490814.html;0.0933;1;0.47;12.4kΩ ±0.1% 63mW 0402 Thin Film Resistor AEC-Q200;;;;;;;;;;;;
40;ERA2AEB102X;https://www.lcsc.com/product-detail/C445596.html;0.1037;25;2.59;1kΩ ±0.1% 63mW 0402 Thin Film Resistor AEC-Q200;;;;;;;;;;;;
41;PMR25HZPJV1L0;https://www.lcsc.com/product-detail/C4173351.html;0.6267;4;2.51;1W 1mΩ ±100ppm/℃ ±5% 1210 Chip Resistor - Surface Mount RoHS;;;;;;;;;;;;
42;FRC0402F20R0TS;https://www.lcsc.com/product-detail/C2909334.html;0.0015;24;0.15;20Ω ±1% 62.5mW 0402 Thick Film Resistor;;;;;;;;;;;;
43;0402WGF5101TCE;https://www.lcsc.com/product-detail/C25905.html;0.0009;2;0.09;5.1kΩ ±1% 62.5mW 0402 Thick Film Resistor;;;;;;;;;;;;
44;TS-1088-AR02016;https://www.lcsc.com/product-detail/C720477.html;0.0530;2;0.53;Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount;;;;;;;;;;;;
45;STM32F051K8U6;https://www.lcsc.com/product-detail/C72339.html;1.8196;4;7.28;ARM Cortex-M0 32 Bit 48MHz 27 UFQFPN-32(5x5) Microcontrollers RoHS;;;;;;;;;;;;
46;MP9943GQ(TOKMAS);https://www.lcsc.com/product-detail/C51889390.html;1.3803;2;2.76;Step-down type 350kHz~470kHz Adjustable 0V~24V 3A QFN-8(3x3) Voltage Regulators - DC DC Switching Regulators RoHS;;;;;;;;;;;;
47;TLV75533PDBVR;https://www.lcsc.com/product-detail/C404027.html;0.1459;1;0.73;3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS;;;;;;;;;;;;
48;W25Q128JVPIM TR;https://www.lcsc.com/product-detail/C2441427.html;3.0088;1;3.01;FLASH - NOR Memory IC 128Mbit SPI 133MHz WSON-8-EP(5x6);;;;;;;;;;;;
49;RP2354B;https://www.lcsc.com/product-detail/C39843328.html;1.5739;1;1.57;48 QFN-80-EP(10x10) Microcontrollers RoHS;;;;;;;;;;;;
50;ICM-42688-P;https://www.lcsc.com/product-detail/C1850418.html;20.2811;1;20.28;High Precision 6-Axis MEMS MotionTracking Device;;;;;;;;;;;;
51;LP5907MFX-3.3/NOPB;https://www.lcsc.com/product-detail/C80670.html;0.1369;1;0.68;Linear Voltage Regulator IC Positive Fixed 1 Output 250mA SOT-23-5;;;;;;;;;;;;
